(0, 0, 0)
(2, 1, 15)
(4, 3, 30)
(6, 5, 45)
(7, 8, 60)
(9, 10, 75)
(11, 12, 90)
(12, 15, 105)
(14, 17, 120)
(16, 18, 135)
(18, 20, 150)
(20, 21, 165)
(22, 22, 180)
(23, 24, 195)
(25, 25, 210)
(27, 26, 225)
(28, 28, 240)
(30, 29, 255)
(31, 31, 270)
(33, 32, 285)
(34, 34, 300)
(36, 35, 315)
(37, 37, 330)
(39, 38, 345)
(40, 40, 360)
(42, 41, 375)
(43, 43, 390)
(45, 44, 405)
(46, 46, 420)
(48, 47, 435)
(49, 49, 450)
(51, 50, 465)
(52, 52, 480)
(54, 53, 495)
(55, 55, 510)
(57, 56, 525)
(58, 58, 540)
(60, 59, 555)
(61, 61, 570)
(63, 62, 585)
(64, 64, 600)
(66, 65, 615)
(67, 67, 630)
(69, 68, 645)
(70, 70, 660)
(72, 71, 675)
(73, 73, 690)
(75, 74, 705)
(76, 76, 720)
(78, 77, 735)
(79, 79, 750)
(81, 80, 765)
(82, 82, 780)
(84, 83, 795)
(85, 85, 810)
(87, 86, 825)
(88, 88, 840)
(90, 89, 855)
(91, 91, 870)
(93, 92, 885)
(94, 94, 900)
(96, 95, 915)
(97, 97, 930)
(99, 98, 945)
(100, 100, 960)
(102, 101, 975)
(103, 103, 990)
(105, 104, 1005)
(106, 106, 1020)
(108, 107, 1035)
(109, 109, 1050)
(111, 110, 1065)
(112, 112, 1080)
(114, 113, 1095)
(115, 115, 1110)
(117, 116, 1125)
(118, 118, 1140)
(120, 119, 1155)
(121, 121, 1170)
(123, 122, 1185)
(124, 124, 1200)
(126, 125, 1215)
(127, 127, 1230)
(129, 128, 1245)
(130, 130, 1260)
(132, 131, 1275)
(133, 133, 1290)
(135, 134, 1305)
(136, 136, 1320)
(138, 137, 1335)
(139, 139, 1350)
(141, 140, 1365)
(142, 142, 1380)
(144, 143, 1395)
(145, 145, 1410)
(147, 146, 1425)
(148, 148, 1440)
(150, 149, 1455)
(151, 151, 1470)
(153, 152, 1485)
(154, 154, 1500)
(156, 155, 1515)
(157, 157, 1530)
(159, 158, 1545)
(160, 160, 1560)
(162, 161, 1575)
(163, 163, 1590)
(165, 164, 1605)
(166, 166, 1620)
(168, 167, 1635)
(169, 169, 1650)
(171, 170, 1665)
(172, 172, 1680)
(174, 173, 1695)
(175, 175, 1710)
(177, 176, 1725)
(178, 178, 1740)
(180, 179, 1755)
(181, 181, 1770)
(183, 182, 1785)
(184, 184, 1800)
(186, 185, 1815)
(187, 187, 1830)
(189, 188, 1845)
(190, 190, 1860)
(192, 191, 1875)
(193, 193, 1890)
(195, 194, 1905)
(196, 196, 1920)
(198, 197, 1935)
(199, 199, 1950)
(201, 200, 1965)
(202, 202, 1980)
(204, 203, 1995)
(205, 205, 2010)
(207, 206, 2025)
(208, 208, 2040)
(210, 209, 2055)
(211, 211, 2070)
(213, 212, 2085)
(214, 214, 2100)
(216, 215, 2115)
(217, 217, 2130)
(219, 218, 2145)
(220, 220, 2160)
(222, 221, 225)
